date,_id,place_name,place_type,lat,lng,text
Wed Sep 30 14:51:41 +0000 2020,1311317802435989504,Camberwell,city,51.4955,-0.09768,"""cheese🧀and tomato🍅croissant 🥐"" in #London #UnitedKingdom https://t.co/WLIJ8xM4go #foodwaste #free"
Wed Sep 30 14:51:29 +0000 2020,1311317751747817473,Barnet,city,51.602,-0.23222,"""Mamas&amp;papas baby reins"" in #London #UnitedKingdom https://t.co/PfnJ6ASPMq #zerowaste #free"
Wed Sep 30 14:51:22 +0000 2020,1311317722505129984,Camberwell,city,51.4955,-0.09768,"""Yogurt pot "" in #London #UnitedKingdom https://t.co/Xv8XkQecdX #foodwaste #free"
Wed Sep 30 14:50:59 +0000 2020,1311317626216427526,Camberwell,city,51.4955,-0.09768,"""Fruit pot "" in #London #UnitedKingdom https://t.co/68eYd6yV8f #foodwaste #free"
Wed Sep 30 14:50:50 +0000 2020,1311317584982274051,Camberwell,city,51.4955,-0.09768,"""cheese🧀and tomato🍅croissant 🥐"" in #London #UnitedKingdom https://t.co/TwO0vQW6I7 #foodwaste #free"
Wed Sep 30 14:49:59 +0000 2020,1311317375162212355,Bromley,city,51.3776,0.11042,"""Iceberg lettuce 🍆"" in #Orpington #UnitedKingdom https://t.co/cYSneB0XwZ #foodwaste #free"
Wed Sep 30 14:49:24 +0000 2020,1311317225299677189,Camberwell,city,51.4955,-0.09768,"""cheese🧀and tomato🍅croissant 🥐"" in #London #UnitedKingdom https://t.co/KiIMpscSz6 #foodwaste #free"
Wed Sep 30 14:48:37 +0000 2020,1311317029635399680,Camberwell,city,51.4955,-0.09768,"""cheese🧀and tomato🍅croissant 🥐"" in #London #UnitedKingdom https://t.co/0gpXGm6uJG #foodwaste #free"
Wed Sep 30 14:48:03 +0000 2020,1311316884629880834,Camberwell,city,51.4955,-0.09768,"""Yogurt pot "" in #London #UnitedKingdom https://t.co/ZizK6yTMnC #foodwaste #free"
Wed Sep 30 14:47:49 +0000 2020,1311316828610875393,Camberwell,city,51.4955,-0.09768,"""Egg 🥚 pot "" in #London #UnitedKingdom https://t.co/UWtScKyuL3 #foodwaste #free"
Wed Sep 30 14:43:29 +0000 2020,1311315736770600962,Lewisham,city,51.429054,-0.04258,"""Vegan Protein powder"" in #London #UnitedKingdom https://t.co/eMpnrG9uFo #foodwaste #free"
Wed Sep 30 14:43:18 +0000 2020,1311315689395847168,Hammersmith,city,51.501,-0.21489,"""Heelys Size UK1"" in #London #UnitedKingdom https://t.co/gW9MnZv5uk #zerowaste #free"
Wed Sep 30 14:39:29 +0000 2020,1311314731064492032,Urmston,city,53.457315,-2.260924,"""Medal"" in #Manchester #UnitedKingdom https://t.co/tUQtgmLGw8 #zerowaste #free"
